node,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6
0,1,165,241,369,494,258
1,62,174,220,349,471,273
2,78,193,259,339,425,106
3,98,192,226,392,474,66
4,2,125,296,357,496,214
5,82,142,213,349,407,51
6,12,161,247,325,464,444
7,48,187,299,366,462,183
8,91,181,276,306,404,35
9,73,200,247,310,471,88
10,2,123,286,362,448,358
11,51,188,251,322,453,292
12,78,114,231,336,496,303
13,58,199,298,320,489,77
14,69,133,265,379,434,196
15,51,171,283,372,495,136
16,100,111,227,398,419,54
17,64,143,251,339,491,409
18,64,120,212,326,452,63
19,72,198,222,363,402,57
20,20,168,269,390,476,475
21,37,149,249,321,499,57
22,69,142,289,311,428,130
23,96,150,219,344,437,310
24,37,181,266,308,470,34
25,65,193,233,308,436,478
26,87,186,299,346,449,232
27,18,157,220,317,405,396
28,40,161,223,350,487,150
29,86,110,265,363,422,108
30,94,196,264,317,471,250
31,80,112,263,363,492,70
32,96,175,236,399,448,193
33,89,102,201,386,446,75
34,6,109,289,364,406,426
35,13,200,291,312,402,197
36,32,159,240,399,444,178
37,63,130,231,341,429,427
38,99,161,285,390,471,282
39,82,143,255,315,439,82
40,68,191,259,340,481,370
41,62,176,257,400,401,372
42,41,103,283,345,418,261
43,45,199,269,317,477,168
44,23,149,245,327,485,78
45,66,180,294,369,439,219
46,13,116,225,344,409,198
47,72,167,299,323,486,225
48,55,161,248,323,464,84
49,26,178,272,374,473,353
50,79,174,285,344,472,289
51,2,115,233,343,453,96
52,18,200,224,393,482,438
53,66,187,276,379,420,90
54,64,177,254,319,451,148
55,45,180,288,365,405,274
56,82,182,202,334,407,176
57,40,155,278,378,453,203
58,21,107,280,351,421,298
59,8,117,279,311,426,451
60,18,143,233,308,489,458
61,61,102,256,337,462,85
62,6,196,212,386,443,35
63,71,149,292,369,499,435
64,32,143,252,384,438,193
65,5,177,238,398,485,131
66,47,156,201,381,485,448
67,32,174,292,390,414,188
68,36,136,263,322,475,439
69,74,169,255,317,469,427
70,87,156,261,319,408,349
71,37,186,256,361,488,169
72,95,148,210,339,441,280
73,69,144,214,347,474,482
74,92,109,298,389,465,381
75,63,176,228,364,409,450
76,72,116,255,390,465,114
77,23,129,204,361,428,212
78,100,183,235,369,409,13
79,95,166,220,339,482,255
80,52,114,295,326,411,330
81,82,116,282,375,459,2
82,52,166,245,352,448,398
83,71,117,255,319,497,3
84,10,159,293,361,476,428
85,50,146,235,390,446,160
86,55,190,249,386,491,471
87,26,157,202,346,452,480
88,47,162,292,374,493,122
89,35,118,282,398,429,33
90,31,176,274,329,494,396
91,50,145,260,390,443,434
92,58,138,229,383,481,47
93,48,162,300,365,476,126
94,65,186,229,343,451,22
95,10,165,246,366,432,425
96,89,189,201,353,480,164
97,25,175,205,339,405,419
98,1,130,207,389,426,94
99,57,164,244,330,460,389
100,19,152,288,302,434,166
101,73,157,222,339,406,143
102,70,136,231,312,415,376
103,45,162,217,341,475,291
104,88,134,251,372,466,18
105,10,108,204,396,443,352
106,14,126,247,334,410,456
107,43,132,285,334,442,360
108,42,102,204,383,416,115
109,5,132,256,360,410,150
110,99,111,202,356,481,97
111,3,124,212,393,462,427
112,22,162,270,364,415,231
113,95,136,263,333,436,317
114,96,117,223,357,467,56
115,73,185,245,328,457,373
116,24,105,299,387,424,210
117,11,117,243,359,421,389
118,16,121,293,359,432,263
119,85,200,243,316,465,215
120,16,167,278,384,426,139
121,93,182,201,354,457,320
122,44,165,238,367,465,329
123,100,117,226,337,476,10
124,94,182,297,311,429,470
125,19,103,297,358,438,319
126,23,167,272,395,418,308
127,1,190,284,343,465,237
128,24,168,278,332,432,159
129,70,196,249,301,459,105
130,46,115,255,309,473,368
131,9,133,224,386,493,254
132,15,146,225,323,430,14
133,22,169,258,322,453,41
134,71,172,231,347,444,287
135,23,150,281,301,426,308
136,37,108,283,311,426,86
137,87,188,274,399,475,187
138,81,155,230,317,494,326
139,61,158,263,324,467,264
140,10,191,278,353,485,429
141,87,164,254,347,482,130
142,4,118,249,391,466,484
143,36,108,282,364,420,436
144,75,129,265,355,472,248
145,77,197,239,320,465,428
146,45,165,296,315,453,157
147,60,133,240,386,485,164
148,32,137,251,311,473,454
149,78,124,296,347,427,255
150,87,121,284,348,432,154
151,87,180,292,338,410,339
152,30,157,211,373,482,94
153,2,188,243,335,489,75
154,4,179,229,373,499,182
155,89,113,294,353,409,107
156,86,119,256,331,477,14
157,82,153,241,378,422,160
158,79,180,225,388,415,329
159,43,123,222,382,417,412
160,4,179,284,331,458,265
161,25,115,229,304,493,73
162,29,161,287,387,460,490
163,56,114,257,352,476,158
164,64,151,270,306,488,178
165,37,161,213,367,443,376
166,24,163,289,306,415,312
167,35,172,288,307,448,343
168,72,104,235,362,425,354
169,41,168,203,301,417,320
170,22,196,267,316,432,156
171,93,169,290,354,458,208
172,58,195,268,328,408,397
173,92,152,254,383,430,12
174,65,141,243,317,427,225
175,86,115,202,314,454,96
176,68,150,255,370,416,24
177,2,115,276,326,419,126
178,72,152,243,309,460,154
179,83,118,233,316,401,159
180,3,140,262,314,405,64
181,71,157,256,334,452,164
182,60,170,258,352,480,168
183,26,155,223,330,474,277
184,8,104,293,388,443,121
185,71,124,233,312,477,420
186,17,121,231,397,452,495
187,24,122,222,395,473,165
188,57,136,298,362,439,233
189,10,134,229,306,421,411
190,32,131,247,301,441,95
191,23,176,244,343,413,264
192,37,150,227,396,464,370
193,56,132,285,381,464,188
194,28,197,243,364,455,68
195,55,169,228,340,448,292
196,42,132,220,312,415,366
197,95,111,217,393,406,449
198,48,178,293,347,419,64
199,63,146,258,393,479,105
200,8,133,252,334,409,353
201,55,128,272,370,402,240
202,97,123,228,316,417,4
203,34,171,256,381,492,328
204,4,141,207,385,435,420
205,72,197,202,316,404,226
