node,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6
0,35,128,204,321,441,350
1,100,131,224,346,423,152
2,35,172,218,314,497,172
3,100,166,207,359,497,344
4,14,132,267,325,464,365
5,77,156,233,346,455,448
6,22,141,237,311,442,268
7,53,171,293,362,417,267
8,63,195,201,392,451,129
9,12,173,221,314,410,327
10,13,124,299,360,485,239
11,50,138,241,377,478,220
12,31,174,244,388,453,221
13,82,185,242,337,462,266
14,83,103,267,362,438,207
15,3,198,300,367,500,38
16,1,165,273,387,475,259
17,54,124,299,374,479,211
18,11,156,271,322,478,486
19,55,123,262,395,448,52
20,1,154,204,331,426,139
21,66,163,297,326,487,288
22,89,140,217,388,474,163
23,16,132,228,375,453,24
24,2,179,247,327,404,123
25,25,131,291,377,448,458
26,62,159,208,347,453,179
27,70,177,283,308,406,221
28,1,128,212,378,488,497
29,90,119,201,363,463,495
30,14,177,260,325,459,60
31,56,174,238,375,451,359
32,71,154,277,331,465,132
33,40,117,278,362,444,188
34,57,134,232,304,486,126
35,55,193,205,315,480,271
36,95,160,247,348,438,462
37,60,119,204,311,480,140
38,29,127,210,340,407,356
39,26,139,250,378,445,444
40,76,111,260,377,482,106
41,90,171,228,372,483,129
42,99,136,227,386,494,194
43,84,102,276,312,409,276
44,63,142,244,321,493,80
45,42,111,215,396,477,335
46,63,175,292,339,464,20
47,51,101,271,386,471,486
48,49,172,242,399,483,78
49,75,187,256,371,440,456
50,7,154,210,350,494,48
51,86,153,259,341,402,370
52,2,107,220,387,429,305
53,82,200,253,363,452,23
54,36,166,205,324,471,176
55,6,154,201,315,475,243
56,9,171,298,394,402,33
57,68,182,252,372,421,113
58,83,168,217,365,464,291
59,28,139,232,333,442,119
60,30,196,273,386,491,205
61,43,171,206,400,498,388
62,11,111,202,336,480,463
63,9,187,279,368,424,203
64,45,123,207,355,444,350
65,22,128,202,332,449,298
66,27,175,271,391,459,175
67,53,161,275,354,408,331
68,14,126,296,371,489,344
69,63,149,269,378,408,410
70,17,135,270,377,403,404
71,77,169,206,375,467,486
72,41,149,207,303,491,360
73,64,161,239,360,416,127
74,86,200,259,361,465,148
75,9,175,238,355,439,222
76,51,112,281,372,407,285
77,32,192,219,358,490,229
78,99,147,205,367,435,462
79,4,115,287,315,487,83
80,4,171,222,357,413,495
81,15,197,291,357,456,478
82,92,159,292,374,434,113
83,19,189,276,382,485,228
84,93,147,216,348,495,224
85,22,174,208,374,436,451
86,17,153,265,372,484,40
87,22,161,237,380,404,241
88,35,141,231,313,493,315
89,51,116,267,301,470,1
90,82,130,277,328,416,3
91,95,166,205,336,469,140
92,5,155,287,397,432,129
93,98,148,290,309,410,316
94,2,179,274,366,467,365
95,19,160,223,385,461,106
96,65,178,276,385,463,49
97,29,170,220,351,436,488
98,9,127,277,386,461,444
99,11,113,268,368,433,177
100,15,102,234,345,480,1
101,20,197,293,343,500,390
102,77,110,292,381,457,274
103,55,183,222,354,495,136
104,33,161,266,350,491,92
105,27,126,284,316,466,136
106,90,179,298,371,459,124
107,76,143,224,377,409,394
108,10,120,254,339,407,441
109,50,169,295,371,500,151
110,52,116,203,400,461,94
111,12,106,227,374,408,62
112,51,140,255,364,463,306
113,65,105,214,308,480,25
114,53,172,252,336,412,287
115,30,111,261,375,472,106
116,17,158,257,325,419,334
117,73,143,279,365,458,71
118,10,194,267,302,454,234
119,59,116,289,325,464,478
120,62,124,273,367,490,164
121,18,150,254,391,494,412
122,11,153,288,375,497,387
123,35,194,265,306,451,168
124,1,180,221,340,468,479
125,88,130,281,365,418,124
126,84,148,268,376,407,476
127,64,195,267,316,470,413
128,97,197,236,328,422,275
129,99,115,270,394,404,169
130,59,189,236,303,469,122
131,81,162,208,360,453,413
132,52,179,208,309,452,244
133,10,137,223,372,466,343
134,46,151,218,335,462,15
135,15,198,214,318,490,313
136,45,175,259,373,412,464
137,54,197,236,352,462,108
138,8,168,209,343,485,438
139,77,151,239,315,404,77
140,36,138,282,349,433,176
141,53,150,269,378,500,255
142,80,120,267,398,401,178
143,87,188,291,346,407,29
144,45,133,242,387,430,258
145,24,188,284,397,488,296
146,94,121,209,324,492,256
147,25,158,237,308,418,190
148,59,147,208,345,427,224
149,45,125,205,347,410,38
150,71,132,247,379,422,50
151,35,135,228,306,453,377
152,76,194,263,344,497,319
153,12,114,217,352,441,294
154,24,106,279,334,407,439
155,30,188,222,361,457,285
156,84,154,278,386,432,446
157,98,115,246,351,475,67
158,77,185,294,350,487,39
159,49,151,249,332,453,67
160,11,191,212,377,495,430
161,60,139,236,380,460,133
162,43,142,283,347,410,375
