node,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6
0,27,192,299,360,427,209
1,85,147,209,330,469,262
2,34,113,261,368,414,493
3,78,138,265,334,436,65
4,62,129,245,352,454,395
5,17,179,245,373,489,71
6,58,155,286,371,497,276
7,28,198,284,392,438,227
8,39,182,253,329,484,157
9,75,171,209,396,482,165
10,6,136,280,371,442,7
11,31,132,278,328,472,377
12,75,146,240,360,442,106
13,35,181,297,369,447,248
14,79,195,232,362,476,43
15,39,154,274,327,470,154
16,55,126,254,301,423,17
17,19,177,238,381,486,58
18,45,123,276,319,414,168
19,82,141,299,304,479,218
20,26,173,223,378,471,477
21,14,173,246,357,417,318
22,43,192,220,372,469,440
23,38,104,201,400,414,200
24,67,136,239,378,403,96
25,60,180,223,355,456,216
26,93,146,211,306,435,165
27,33,152,283,333,471,438
28,8,104,225,342,496,276
29,42,145,271,397,477,215
30,6,160,217,307,403,471
31,39,163,246,385,451,67
32,81,173,256,353,443,102
33,53,149,299,353,459,36
34,24,134,238,316,450,275
35,4,174,234,303,423,451
36,31,154,201,325,408,129
37,62,199,217,361,474,324
38,3,169,210,378,422,174
39,71,122,284,378,438,103
40,82,117,291,352,439,354
41,41,145,201,395,412,446
42,90,199,277,397,494,172
43,58,154,245,307,436,96
44,50,157,213,352,427,375
45,78,139,211,347,451,129
46,33,181,272,359,426,325
47,98,140,216,342,436,329
48,61,156,236,354,492,461
49,82,171,210,329,470,473
50,16,149,232,327,494,60
51,3,135,233,312,402,143
52,86,192,292,328,427,121
53,62,122,274,355,494,270
54,23,157,298,350,444,147
55,26,147,294,304,415,456
56,51,163,230,342,493,404
57,14,108,276,322,458,16
58,61,159,257,368,432,11
59,3,115,213,351,444,258
60,85,133,204,355,500,196
61,73,120,271,307,489,293
62,92,174,216,341,498,278
63,74,189,257,315,423,331
64,37,146,278,322,403,73
65,69,164,276,369,471,84
66,13,141,203,353,442,236
67,13,189,225,336,467,87
68,45,149,273,374,420,139
69,43,171,298,352,456,86
70,15,153,293,360,479,75
71,82,190,247,387,480,241
72,9,199,226,359,467,190
73,23,132,224,373,493,333
74,36,127,300,397,467,317
75,73,105,285,319,411,494
76,6,153,220,313,488,430
77,18,153,226,367,442,243
78,13,185,224,314,457,332
79,76,145,249,369,457,457
80,53,160,236,374,465,8
81,17,171,214,318,489,314
82,55,145,245,352,466,434
83,91,170,234,396,405,186
84,38,161,245,307,435,245
85,8,147,267,308,482,73
86,74,153,224,317,422,151
87,88,131,243,394,468,281
88,13,133,226,388,406,17
89,82,151,237,344,431,29
90,88,117,298,308,406,143
91,29,110,300,325,404,238
92,63,148,231,326,490,313
