node,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6
0,68,192,253,375,404,232
1,94,194,227,340,486,257
2,97,183,252,344,418,61
3,89,109,237,380,421,490
4,35,136,220,309,459,493
5,23,187,243,314,412,429
6,83,197,207,316,416,463
7,1,118,276,330,485,249
8,58,103,283,310,446,446
9,8,102,285,387,432,412
10,59,192,261,345,456,409
11,16,179,201,324,432,326
12,89,144,262,347,426,9
13,74,182,233,369,498,169
14,47,112,288,374,403,127
15,22,105,288,364,451,390
16,56,117,260,358,499,59
17,80,167,210,352,438,34
18,37,115,250,301,470,41
19,99,105,247,309,469,155
20,71,180,216,387,408,223
21,42,103,232,325,498,9
22,21,179,232,329,449,289
23,95,193,293,399,473,181
24,37,154,202,338,428,328
25,27,106,237,302,459,102
26,67,154,261,347,446,286
27,58,172,299,319,422,220
28,37,143,215,369,438,147
29,19,139,207,373,489,422
30,76,130,212,400,497,109
31,15,154,270,360,482,316
32,53,123,247,338,422,284
33,3,133,278,373,482,186
34,8,198,239,324,498,52
35,13,141,294,382,483,32
36,41,176,217,314,454,237
37,52,130,285,333,407,82
38,68,132,284,338,489,243
39,20,129,286,322,462,270
40,45,180,270,387,458,146
41,73,107,264,389,467,293
42,63,118,275,354,422,133
43,2,146,290,346,498,444
44,5,170,208,341,436,464
45,23,158,211,333,498,362
46,80,196,208,320,435,317
47,33,179,300,364,500,289
48,75,107,296,362,500,444
49,96,160,229,393,434,199
50,83,174,283,346,465,338
51,98,144,249,301,495,102
52,21,140,232,380,438,166
53,9,145,270,319,415,415
54,38,161,222,382,447,403
55,36,193,268,354,495,291
56,5,154,227,372,467,122
57,96,174,257,328,418,57
58,58,118,273,398,427,412
59,2,145,222,393,445,406
60,47,180,207,347,406,309
61,13,185,258,356,450,23
62,52,173,239,353,414,430
63,14,167,253,387,413,12
64,100,186,274,355,409,121
65,16,182,295,339,471,17
66,28,166,204,381,473,367
67,30,109,243,330,463,291
68,25,162,294,334,438,187
69,40,136,223,344,423,65
70,83,176,242,364,429,270
71,96,140,277,305,458,56
72,2,115,206,313,492,160
73,46,162,249,380,486,471
74,3,109,244,391,481,79
75,96,161,298,370,496,92
76,76,153,213,362,428,244
77,70,130,214,392,452,177
78,38,141,299,378,416,497
79,96,165,296,373,433,40
80,19,150,250,321,448,136
81,98,188,265,377,493,161
82,70,106,241,363,451,188
83,70,133,241,358,465,261
84,93,158,299,353,496,289
85,14,165,204,337,417,89
86,49,156,201,338,422,150
87,99,119,221,377,467,345
88,49,153,266,389,433,193
89,41,181,260,313,439,500
90,72,153,291,351,434,187
91,91,172,250,396,417,367
92,37,115,266,342,480,442
93,90,106,233,313,423,203
94,75,144,292,392,497,16
95,42,151,268,310,422,114
96,73,104,288,388,416,278
97,100,146,256,338,415,392
98,19,197,226,369,469,202
99,28,163,268,318,407,483
100,21,176,238,394,459,29
101,31,129,267,308,436,489
102,9,191,293,320,467,434
103,84,128,205,371,408,336
104,63,143,219,335,489,262
105,43,132,238,380,429,334
106,38,116,270,338,448,64
107,32,192,293,341,499,425
108,90,170,216,376,488,137
109,34,168,276,365,440,227
110,36,186,255,317,494,59
111,69,131,210,379,500,448
112,21,176,230,304,454,403
113,5,107,287,372,448,196
114,37,199,275,380,420,157
115,6,103,262,332,441,364
116,15,155,228,364,432,386
117,29,156,266,393,487,490
118,45,107,282,389,461,322
119,28,142,299,353,406,219
120,92,163,284,324,419,75
121,29,119,222,326,410,418
122,57,175,273,314,448,276
123,21,155,223,346,442,229
124,40,162,243,327,406,88
125,24,182,232,333,498,215
126,22,195,287,331,448,4
127,39,121,228,388,441,258
128,56,104,210,321,408,332
129,38,166,254,371,495,373
130,95,131,289,313,467,247
131,7,172,262,396,466,442
132,45,126,202,369,499,169
133,90,188,274,342,402,324
134,96,131,205,374,474,101
135,25,160,243,383,454,99
136,64,157,244,387,427,32
137,6,113,278,380,460,13
138,28,134,265,345,483,225
139,39,150,218,341,456,436
140,47,147,281,308,477,192
141,62,134,262,361,443,297
142,99,188,283,353,426,348
143,73,185,217,320,461,22
144,5,146,260,317,462,130
145,33,188,287,345,434,370
146,40,192,275,396,470,410
147,85,138,261,386,470,177
148,85,162,225,350,478,65
149,14,141,267,335,454,240
150,21,189,204,351,417,44
151,77,104,251,303,402,430
152,5,107,221,364,482,157
153,73,193,239,322,422,175
