node,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6
0,63,142,274,395,487,224
1,1,181,234,316,406,481
2,21,130,259,363,463,87
3,9,110,238,320,497,161
4,15,180,293,381,410,257
5,67,179,206,350,408,455
6,52,140,276,361,441,300
7,91,119,286,341,490,175
8,68,110,258,327,473,458
9,10,198,229,337,444,184
10,9,192,230,371,430,182
11,65,172,236,366,461,380
12,49,156,219,314,476,475
13,59,150,289,324,486,35
14,21,149,288,305,444,191
15,36,136,204,326,433,282
16,60,179,206,396,447,60
17,33,164,219,351,484,270
18,46,139,219,340,440,308
19,62,108,234,312,416,9
20,38,155,295,334,413,208
21,69,199,262,309,453,404
22,22,159,213,386,487,435
23,74,180,268,395,442,315
24,52,176,291,392,490,54
25,7,154,262,389,481,67
26,27,145,285,320,424,441
27,50,136,255,320,462,468
28,75,168,244,347,459,348
29,63,174,300,334,467,453
30,86,108,255,318,490,242
31,2,124,252,315,491,154
32,64,149,228,356,484,56
33,3,116,261,400,466,470
34,74,170,295,353,472,422
35,5,194,228,307,445,67
36,18,111,225,334,489,262
37,56,176,279,357,464,14
38,47,147,276,362,484,41
39,89,183,205,383,447,447
40,82,128,265,355,477,223
41,75,112,245,367,434,336
42,28,119,291,306,411,50
43,50,138,253,306,448,148
44,89,127,286,377,441,300
45,62,174,273,363,418,440
46,44,159,267,338,465,146
47,5,193,251,369,452,307
48,100,108,271,367,498,302
49,62,195,210,373,462,181
50,71,109,276,383,419,425
51,76,159,278,354,482,205
52,38,104,220,348,500,137
53,75,146,226,378,420,401
54,12,175,252,320,459,396
55,94,142,290,386,478,103
56,12,113,236,336,404,76
57,24,138,291,361,449,412
58,99,106,276,381,408,441
59,41,105,241,372,453,54
60,86,198,287,315,401,66
61,76,109,300,390,490,282
62,13,177,256,352,470,481
63,94,105,282,359,431,355
64,2,103,217,376,471,331
65,21,182,231,362,496,326
66,59,126,210,352,446,422
67,100,182,251,362,469,108
68,76,179,266,324,416,465
69,21,161,282,336,434,20
70,56,153,284,348,486,13
71,31,130,263,399,423,153
72,67,178,222,391,417,307
73,1,153,241,395,440,98
74,22,182,247,371,487,47
75,14,200,223,307,500,478
76,91,102,279,321,485,367
77,25,127,294,344,416,305
78,53,140,299,340,439,497
79,75,200,258,352,500,199
80,70,120,260,381,460,231
81,68,142,231,345,412,445
82,90,114,231,331,450,246
83,44,120,278,351,407,20
84,19,149,293,339,459,437
85,18,124,270,316,442,390
86,87,133,284,329,427,76
87,92,138,290,343,490,59
88,45,108,235,349,446,140
89,92,118,261,400,444,301
90,37,176,213,332,415,274
91,71,169,276,359,408,197
92,2,118,234,317,453,45
93,82,102,264,385,412,396
94,1,134,271,326,401,331
95,55,163,226,329,450,368
96,15,159,296,374,426,41
97,79,136,283,348,491,389
98,2,116,201,353,460,71
99,11,141,224,385,472,323
100,97,110,299,308,442,5
101,19,180,287,313,443,125
102,53,180,300,317,500,483
103,46,112,298,355,442,262
104,21,187,252,399,477,75
105,50,123,263,348,408,110
106,91,192,272,348,444,61
107,28,167,226,385,429,456
108,50,110,244,309,416,241
109,7,108,219,351,442,141
110,24,127,240,374,498,426
111,56,114,287,325,431,8
112,33,157,257,371,413,478
113,23,191,243,314,479,134
114,91,119,295,346,485,363
115,14,104,201,397,487,432
116,46,162,258,370,403,223
117,22,114,260,396,460,138
118,52,131,243,373,448,388
119,70,153,220,306,449,105
120,34,152,280,323,497,224
121,23,108,279,301,412,288
122,66,135,263,336,424,103
123,50,133,218,392,455,409
124,9,146,216,392,497,96
125,96,116,231,344,451,4
126,71,101,237,352,444,85
127,95,104,256,360,433,274
128,98,198,292,387,419,169
129,15,150,273,333,402,365
130,41,113,295,395,403,27
131,76,112,239,328,498,440
132,90,135,261,362,473,60
133,56,107,246,322,447,270
134,18,132,258,329,461,364
135,89,129,204,330,467,311
136,74,115,219,304,493,329
137,12,112,265,350,402,215
138,59,178,204,369,423,375
139,22,158,254,400,419,294
140,44,165,212,376,453,156
141,10,110,218,343,467,86
142,38,196,292,362,453,496
143,15,174,252,398,451,296
144,88,138,250,302,474,457
145,40,125,245,338,498,19
146,2,185,265,305,427,197
147,42,128,206,313,435,195
148,62,143,229,325,466,286
149,84,175,241,347,498,326
150,67,132,282,355,498,147
151,87,149,278,383,427,417
152,57,150,210,337,440,82
153,88,195,292,394,480,322
154,10,119,255,306,421,166
155,5,125,224,396,412,81
156,3,129,204,351,472,482
157,95,188,237,330,494,471
158,61,124,255,314,488,188
159,88,198,208,337,462,253
160,3,183,223,325,476,31
161,56,123,227,355,408,31
162,83,189,208,303,408,431
163,99,125,247,301,417,294
164,98,159,295,311,485,304
165,21,194,287,355,470,343
166,2,162,276,301,437,491
167,47,196,237,390,464,183
168,7,156,244,345,468,397
169,40,103,258,324,425,163
170,31,115,210,374,493,183
171,70,188,241,317,414,246
172,4,106,263,317,486,100
173,87,128,252,355,487,462
174,35,196,232,349,487,320
175,92,114,242,395,489,427
176,98,163,232,388,439,299
