node,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6
0,81,198,268,400,410,217
1,29,102,213,386,465,341
2,62,110,206,378,465,1
3,84,121,298,388,425,333
4,71,120,210,343,445,280
5,40,153,229,311,485,127
6,3,167,284,395,435,153
7,48,122,264,368,432,79
8,53,167,266,318,425,492
9,29,139,272,310,470,359
10,69,194,260,369,457,109
11,17,121,249,383,490,94
12,84,115,250,368,461,219
13,39,200,236,355,420,81
14,48,149,246,341,431,366
15,70,158,226,304,477,147
16,41,101,228,351,446,227
17,96,145,212,381,438,224
18,76,200,261,332,447,441
19,8,200,292,306,443,72
20,48,164,216,369,443,23
21,45,143,221,342,482,94
22,60,151,218,383,421,256
23,89,116,253,321,468,252
24,44,164,257,362,467,479
25,50,147,264,388,487,334
26,37,181,237,400,450,258
27,31,162,291,317,435,424
28,54,195,238,349,428,140
29,28,190,283,340,403,359
30,92,122,282,382,448,86
31,47,104,201,302,450,172
32,40,119,263,368,430,296
33,58,107,249,326,436,394
34,78,138,251,313,420,290
35,19,145,220,326,437,113
36,29,145,208,301,474,208
37,52,106,300,304,457,133
38,60,180,255,347,483,168
39,77,153,295,369,410,57
40,65,179,244,379,466,252
41,34,170,236,370,442,70
42,37,131,279,378,420,290
43,62,131,204,340,434,369
44,79,176,225,314,425,427
45,79,104,271,312,469,411
46,64,122,256,343,482,376
47,40,129,281,304,485,161
48,23,188,219,316,491,494
49,27,123,207,315,455,273
50,22,153,232,337,454,167
51,32,195,279,325,492,227
52,51,162,282,306,480,216
53,7,184,223,391,403,52
54,85,181,293,334,483,214
55,31,200,291,386,448,370
56,25,143,277,395,468,46
57,79,126,260,333,405,373
58,19,160,250,361,434,373
59,30,114,221,391,486,239
60,78,146,298,327,409,116
61,17,128,252,310,411,52
62,56,178,216,398,460,342
63,82,142,280,366,474,87
64,24,191,282,318,463,156
65,1,196,283,386,483,416
66,37,152,278,306,444,363
67,43,118,226,303,442,247
68,7,163,223,350,405,35
69,11,140,247,324,487,201
70,83,165,268,398,462,56
71,9,184,212,343,467,236
72,99,161,222,330,425,405
73,41,144,254,355,414,73
74,77,196,241,366,401,488
75,46,185,237,338,412,202
76,88,112,226,312,482,414
77,97,180,248,332,418,408
78,97,181,288,304,470,272
79,8,133,220,382,462,329
80,19,162,210,324,455,230
81,45,119,238,373,440,382
82,27,146,294,373,475,185
83,99,114,246,392,426,333
84,75,140,264,383,460,458
85,13,191,223,346,413,385
86,3,123,260,378,480,212
87,7,199,262,363,405,151
88,79,177,233,388,478,380
89,21,187,290,311,451,492
90,98,184,258,387,463,256
91,58,197,206,301,403,316
92,24,158,228,351,409,365
93,78,188,250,375,441,123
94,22,109,276,373,441,382
95,88,108,298,329,426,335
96,79,183,250,308,487,137
97,1,155,202,364,455,333
98,80,164,251,342,449,210
99,87,115,252,315,469,205
100,7,132,275,318,499,332
101,42,138,295,393,443,147
102,69,148,274,358,481,498
